INFO_TIME,COUNTY_ID,COUNTY_ID_NM,TOWN_ID,TOWN_ID_NM,V_ID,V_ID_NM,fld0101,fld0201,fld0301,fld0401
╕ъо╞о╔╢б,┐делеN╜X,┐делжW║┘,╢m┬эел░╧еN╜X,╢m┬эел░╧жW║┘,з°и╜еN╜X,з°и╜жW║┘,дс╝╞,дHдf╝╞,иkй╩дHдf╝╞,дkй╩дHдf╝╞
"103Y3M","10002","йy─ї┐д","10002020","├╣кF┬э","10002020-008","лnйўи╜",1074,2800,1354,1446
"103Y3M","10002","йy─ї┐д","10002020","├╣кF┬э","10002020-009","лn╗ии╜",557,1601,747,854
"103Y3M","10002","йy─ї┐д","10002020","├╣кF┬э","10002020-026","░ъ╡╪и╜",1899,5587,2559,3028
"103Y3M","10002","йy─ї┐д","10002020","├╣кF┬э","10002020-028","╢}й·и╜",675,1705,841,864
"103Y3M","10002","йy─ї┐д","10002020","├╣кF┬э","10002020-021","╢░▓╗и╜",679,1459,721,738
"103Y3M","10002","йy─ї┐д","10002020","├╣кF┬э","10002020-006","╖s╕sи╜",1060,3211,1603,1608
"103Y3M","10002","йy─ї┐д","10002020","├╣кF┬э","10002020-016","║~е┴и╜",1698,4749,2272,2477
"103Y3M","10002","йy─ї┐д","10002020","├╣кF┬э","10002020-027","║√┤ни╜",1312,3858,1833,2025
"103Y3M","10002","йy─ї┐д","10002020","├╣кF┬э","10002020-019","╜хдхи╜",1678,4621,2167,2454
"103Y3M","10002","йy─ї┐д","10002020","├╣кF┬э","10002020-025","╛ЁкLи╜",1456,4342,2042,2300
"103Y3M","10002","йy─ї┐д","10002020","├╣кF┬э","10002020-007","├╣▓°и╜",1318,3453,1604,1849
"103Y3M","10002","йy─ї┐д","10002030","─м┐D┬э","10002030-015","е├е·и╜",214,541,269,272
"103Y3M","10002","йy─ї┐д","10002030","─м┐D┬э","10002030-016","е├мKи╜",315,746,390,356
"103Y3M","10002","йy─ї┐д","10002030","─м┐D┬э","10002030-003","е├║aи╜",1367,4349,2217,2132
"103Y3M","10002","йy─ї┐д","10002030","─м┐D┬э","10002030-017","е├╝╓и╜",193,573,279,294
"103Y3M","10002","йy─ї┐д","10002030","─м┐D┬э","10002030-004","жsдпи╜",367,1144,602,542
"103Y3M","10002","йy─ї┐д","10002030","─м┐D┬э","10002030-006","йий·и╜",0,0,0,0
"103Y3M","10002","йy─ї┐д","10002030","─м┐D┬э","10002030-024","кF┐Dи╜",138,407,213,194
"103Y3M","10002","йy─ї┐д","10002030","─м┐D┬э","10002030-014","к°жwи╜",249,646,336,310
"103Y3M","10002","йy─ї┐д","10002030","─м┐D┬э","10002030-019","лnе┐и╜",397,1167,592,575
